,Istanza,Soluzione,Tempo (s),Errore,Soluzione,Tempo (s),Errore,Soluzione,Tempo (s),Errore
1,burma14 ,3323,2.44453,0,4202,0.0000191,0.264520012037316,4003,0.0000364,0.204634366536262
2,ulysses16 ,6859,14.6475,0,8276,0.0000253,0.206589881906984,7788,0.0000413,0.135442484327161
3,ulysses22 ,7188,1202.143,0.0249536574932269,7889,0.0000539,0.124910879794667,8308,0.0000877,0.184657065449879
4,eil51 ,1072,1200.662,1.51643192488263,569,0.0006023,0.335680751173709,605,0.000194,0.42018779342723
5,berlin52 ,18920,1200.647,1.50861840360647,11811,0.0006005,0.566030230708035,10402,0.0003238,0.379209758684699
6,kroA100 ,169787,1200.243,6.97346670423593,30359,0.003957,0.425706771860618,30516,0.0006457,0.433079740772048
7,kroD100 ,150572,1200.235,6.07508692792031,29264,0.0047127,0.375058735081289,28599,0.0006957,0.343811671835354
8,ch150 ,49109,1200.121,6.52282475490196,9708,0.0129079,0.487132352941176,9315,0.0012785,0.426930147058824
9,gr202 ,56533,1200.071,0.40769422310757,51677,0.032091,0.286777888446215,52615,0.0023568,0.310134462151394
10,gr229 ,176922,1200.068,0.314408404035601,172860,0.0464426,0.284230546351466,179335,0.0031117,0.332335329341317
11,pcb442 ,215105,1200.188,3.23618496199141,69157,0.355548,0.361948087754539,71264,0.0097613,0.4034424357005
12,d493 ,112313,1200.234,2.20875949945717,45075,0.501974,0.287783555225416,45334,0.0128767,0.295183132392435
13,dsj1000 ,555573000,1201.523,28.7739704972559,28341400,4.6643,0.518857121298062,25526000,0.048772,0.367975713205923
